ts,A,CTX,x,US,S"1,S"2,H1,H2,M"1,M"2,D,R*,CR
0,0.3,0.4,0.2,0.0,0.012,0.011,0.007,0.007,0.006,0.006,0.006,0.006,0.0,
1,0.0,0.4,0.0,0.0,0.009,0.011,0.007,0.007,0.007,0.006,0.006,0.006,0.0,
2,0.0,0.4,0.0,0.0,0.009,0.011,0.007,0.006,0.006,0.006,0.007,0.006,0.0,
3,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.006,0.006,0.007,0.007,0.0,
4,1.0,0.4,0.0,0.0,0.024,0.011,0.007,0.006,0.007,0.007,0.006,0.006,0.0,
5,1.0,0.4,0.9,1.0,0.024,0.022,0.006,0.006,0.006,0.006,1.0,1.0,0.0,
6,1.0,0.4,1.0,1.0,0.026,0.026,0.006,0.006,0.006,0.006,1.0,1.0,0.0,
7,1.0,0.4,1.0,1.0,0.031,0.031,0.006,0.008,0.006,0.006,1.0,1.0,0.0,
8,1.0,0.4,1.0,0.0,0.026,0.026,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
9,1.0,0.4,1.0,0.0,0.031,0.025,0.006,0.006,0.006,0.008,0.008,0.006,0.0,
10,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.006,0.006,0.006,0.006,0.0,
11,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.007,0.006,0.008,0.006,0.0,
12,0.0,0.4,0.0,1.0,0.009,0.009,0.007,0.006,0.007,0.006,1.0,1.0,0.0,
13,1.0,0.4,1.0,1.0,0.026,0.026,0.006,0.006,0.006,0.006,1.0,1.0,0.0,
14,1.0,0.4,1.0,0.0,0.032,0.026,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
15,1.0,0.4,1.0,0.0,0.026,0.026,0.006,0.008,0.006,0.006,0.006,0.006,0.0,
16,1.0,0.4,1.0,0.0,0.031,0.031,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
17,1.0,0.4,1.0,0.0,0.026,0.031,0.006,0.006,0.006,0.008,0.006,0.006,0.0,
18,1.0,0.4,1.0,1.0,0.025,0.026,0.008,0.006,0.008,0.006,1.0,1.0,0.0,
19,1.0,0.4,1.0,1.0,0.028,0.034,0.008,0.008,0.008,0.008,1.0,1.0,0.0,
20,1.0,0.4,1.0,1.0,0.034,0.028,0.006,0.008,0.006,0.006,1.0,1.0,0.0,
21,0.0,0.4,0.0,0.0,0.009,0.009,0.008,0.007,0.006,0.006,0.008,0.006,0.0,
22,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.006,0.007,0.007,0.008,0.006,0.0,
23,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
24,1.0,0.4,1.0,0.0,0.032,0.028,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
25,1.0,0.4,1.0,1.0,0.027,0.027,0.006,0.008,0.008,0.008,1.0,1.0,0.0,
26,1.0,0.4,1.0,0.0,0.036,0.03,0.006,0.006,0.008,0.006,0.006,0.006,0.0,
27,1.0,0.4,1.0,0.0,0.03,0.03,0.006,0.006,0.008,0.008,0.006,0.006,0.0,
28,1.0,0.4,1.0,0.0,0.03,0.036,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
29,1.0,0.4,1.0,0.0,0.029,0.036,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
30,1.0,0.4,1.0,0.0,0.036,0.029,0.006,0.008,0.006,0.006,0.008,0.006,0.0,
31,1.0,0.4,0.5,1.0,0.029,0.017,0.006,0.008,0.008,0.006,1.0,1.0,0.0,
32,0.0,0.4,0.0,1.0,0.009,0.012,0.006,0.006,0.006,0.006,1.0,1.0,0.0,
33,0.0,0.4,0.0,1.0,0.009,0.012,0.006,0.007,0.007,0.007,1.0,1.0,0.0,
34,0.0,0.4,0.0,1.0,0.012,0.009,0.007,0.006,0.006,0.006,1.0,1.0,0.0,
35,1.0,0.4,1.0,0.0,0.032,0.031,0.006,0.008,0.006,0.006,0.008,0.006,0.0,
36,1.0,0.4,1.0,0.0,0.032,0.031,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
37,1.0,0.4,1.0,0.0,0.039,0.031,0.006,0.006,0.006,0.008,0.006,0.006,0.0,
38,1.0,0.4,1.0,0.0,0.032,0.037,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
39,1.0,0.4,1.0,1.0,0.038,0.037,0.006,0.008,0.006,0.006,1.0,1.0,0.0,
40,1.0,0.4,1.0,0.0,0.043,0.034,0.006,0.008,0.008,0.008,0.006,0.008,0.0,
41,1.0,0.4,1.0,0.0,0.043,0.034,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
42,1.0,0.4,0.7,0.0,0.035,0.023,0.006,0.008,0.006,0.006,0.006,0.006,0.0,
43,0.0,0.4,0.0,0.0,0.01,0.013,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
44,0.0,0.4,0.0,0.0,0.012,0.01,0.006,0.006,0.007,0.007,0.006,0.006,0.0,
45,0.0,0.4,0.0,1.0,0.01,0.01,0.006,0.006,0.007,0.007,1.0,1.0,0.0,
46,1.0,0.4,1.0,1.0,0.035,0.034,0.006,0.006,0.006,0.008,1.0,1.0,0.0,
47,1.0,0.4,1.0,1.0,0.043,0.034,0.006,0.006,0.006,0.006,1.0,1.0,0.0,
48,1.0,0.4,1.0,0.0,0.035,0.034,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
49,1.0,0.4,1.0,0.0,0.035,0.034,0.006,0.006,0.008,0.006,0.006,0.006,0.0,
50,1.0,0.4,1.0,0.0,0.035,0.034,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
51,1.0,0.4,1.0,0.0,0.042,0.033,0.006,0.006,0.006,0.008,0.006,0.006,0.0,
52,1.0,0.4,1.0,0.0,0.034,0.033,0.008,0.006,0.006,0.006,0.006,0.006,0.0,
53,1.0,0.4,1.0,1.0,0.034,0.033,0.006,0.008,0.006,0.006,1.0,1.0,0.0,
54,0.0,0.4,0.0,0.0,0.01,0.01,0.006,0.007,0.006,0.008,0.008,0.008,0.0,
55,0.0,0.4,0.0,0.0,0.012,0.01,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
56,0.0,0.4,0.0,0.0,0.01,0.01,0.006,0.006,0.006,0.006,0.008,0.008,0.0,
57,1.0,0.4,1.0,0.0,0.038,0.042,0.006,0.007,0.006,0.006,0.006,0.008,0.0,
58,1.0,0.4,1.0,0.0,0.038,0.044,0.006,0.006,0.008,0.006,0.006,0.006,0.0,
59,1.0,0.4,1.0,1.0,0.046,0.036,0.006,0.006,0.008,0.008,1.0,1.0,0.0,
60,1.0,0.4,1.0,1.0,0.043,0.049,0.008,0.006,0.006,0.008,1.0,1.0,0.0,
61,1.0,0.4,1.0,1.0,0.052,0.04,0.008,0.006,0.006,0.006,1.0,1.0,0.0,
62,1.0,0.4,1.0,0.0,0.042,0.04,0.006,0.006,0.006,0.008,0.006,0.006,0.0,
63,1.0,0.4,1.0,0.0,0.042,0.04,0.008,0.006,0.006,0.006,0.006,0.006,0.0,
64,1.0,0.4,1.0,0.0,0.042,0.039,0.008,0.006,0.008,0.006,0.006,0.008,0.0,
65,0.0,0.4,0.0,0.0,0.016,0.015,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
66,0.0,0.4,0.0,0.0,0.012,0.01,0.006,0.008,0.006,0.006,0.006,0.006,0.0,
67,0.0,0.4,0.0,1.0,0.01,0.012,0.007,0.006,0.006,0.006,1.0,1.0,0.0,
68,1.0,0.4,1.0,0.0,0.042,0.04,0.006,0.006,0.007,0.006,0.006,0.008,0.0,
69,1.0,0.4,1.0,0.0,0.051,0.039,0.006,0.008,0.006,0.006,0.006,0.006,0.0,
70,1.0,0.4,1.0,0.0,0.042,0.039,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
71,1.0,0.4,1.0,0.0,0.042,0.039,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
72,1.0,0.4,1.0,0.0,0.041,0.039,0.008,0.006,0.006,0.008,0.006,0.006,0.0,
73,1.0,0.4,1.0,1.0,0.041,0.048,0.006,0.006,0.006,0.006,1.0,1.0,0.0,
74,1.0,0.4,1.0,1.0,0.047,0.045,0.006,0.006,0.008,0.006,1.0,1.0,0.0,
75,1.0,0.4,1.0,1.0,0.046,0.044,0.006,0.006,0.008,0.006,1.0,1.0,0.0,
76,1.0,0.4,0.8,0.0,0.046,0.033,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
77,0.0,0.4,0.0,0.0,0.01,0.01,0.006,0.006,0.007,0.008,0.008,0.006,0.0,
78,0.0,0.4,0.0,0.0,0.01,0.01,0.006,0.007,0.006,0.007,0.006,0.006,0.0,
79,0.0,0.4,0.0,0.0,0.01,0.01,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
80,1.0,0.4,1.0,1.0,0.046,0.044,0.008,0.008,0.006,0.006,1.0,1.0,0.0,
81,1.0,0.4,1.0,0.0,0.052,0.05,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
82,1.0,0.4,1.0,0.0,0.051,0.049,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
83,1.0,0.4,1.0,0.0,0.062,0.049,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
84,1.0,0.4,1.0,0.0,0.05,0.059,0.007,0.008,0.008,0.007,0.008,0.006,0.0,
85,1.0,0.4,1.0,0.0,0.05,0.048,0.008,0.007,0.008,0.006,0.006,0.006,0.0,
86,1.0,0.4,1.0,0.0,0.05,0.048,0.008,0.006,0.006,0.006,0.006,0.006,0.0,
87,1.0,0.4,0.9,1.0,0.05,0.041,0.006,0.006,0.006,0.008,1.0,1.0,0.0,
88,0.0,0.4,0.0,1.0,0.01,0.01,0.006,0.008,0.006,0.006,1.0,1.0,0.0,
89,0.0,0.4,0.0,0.0,0.01,0.013,0.006,0.007,0.006,0.006,0.006,0.006,0.0,
90,0.0,0.4,0.0,0.0,0.013,0.01,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
91,1.0,0.4,1.0,0.0,0.057,0.06,0.006,0.008,0.008,0.007,0.006,0.006,0.0,
92,1.0,0.4,1.0,0.0,0.056,0.065,0.007,0.007,0.007,0.008,0.007,0.006,0.0,
93,1.0,0.4,1.0,0.0,0.056,0.053,0.007,0.007,0.007,0.006,0.006,0.006,0.0,
94,1.0,0.4,1.0,1.0,0.055,0.064,0.008,0.006,0.007,0.006,1.0,1.0,0.0,
95,1.0,0.4,1.0,0.0,0.064,0.063,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
96,1.0,0.4,1.0,0.0,0.063,0.062,0.007,0.008,0.007,0.007,0.006,0.008,0.0,
97,1.0,0.4,1.0,0.0,0.062,0.062,0.007,0.007,0.007,0.007,0.008,0.008,0.0,
98,1.0,0.4,0.9,0.0,0.062,0.052,0.008,0.007,0.008,0.007,0.008,0.006,0.0,
99,0.0,0.4,0.0,0.0,0.01,0.011,0.006,0.008,0.007,0.006,0.006,0.006,0.0,
100,0.0,0.4,0.0,1.0,0.013,0.011,0.006,0.006,0.006,0.006,1.0,1.0,0.0,
101,0.0,0.4,0.0,1.0,0.011,0.011,0.007,0.006,0.007,0.007,1.0,1.0,0.0,
102,1.0,0.4,1.0,1.0,0.063,0.063,0.006,0.007,0.006,0.007,1.0,1.0,0.0,
103,1.0,0.4,1.0,0.0,0.077,0.075,0.008,0.007,0.008,0.007,0.006,0.008,0.0,
104,1.0,0.4,1.0,0.0,0.062,0.074,0.008,0.008,0.007,0.007,0.007,0.006,0.0,
105,1.0,0.4,1.0,0.0,0.062,0.074,0.008,0.007,0.007,0.008,0.006,0.006,0.0,
106,1.0,0.4,1.0,0.0,0.074,0.061,0.008,0.007,0.007,0.008,0.006,0.006,0.0,
107,1.0,0.4,1.0,0.0,0.06,0.06,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
108,1.0,0.4,1.0,1.0,0.06,0.06,0.008,0.007,0.007,0.007,1.0,1.0,0.0,
109,1.0,0.4,1.0,0.0,0.071,0.07,0.007,0.007,0.007,0.007,0.006,0.008,0.0,
110,0.0,0.4,0.0,0.0,0.011,0.011,0.006,0.007,0.008,0.006,0.006,0.006,0.0,
111,0.0,0.4,0.0,0.0,0.013,0.011,0.006,0.006,0.007,0.006,0.006,0.008,0.0,
112,0.0,0.4,0.0,0.0,0.011,0.011,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
113,1.0,0.4,1.0,0.0,0.069,0.077,0.006,0.007,0.007,0.007,0.006,0.006,0.0,
114,1.0,0.4,1.0,1.0,0.069,0.082,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
115,1.0,0.4,1.0,1.0,0.098,0.083,0.007,0.007,0.008,0.007,1.0,1.0,0.0,
116,1.0,0.4,1.0,1.0,0.097,0.082,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
117,1.0,0.4,1.0,0.0,0.078,0.098,0.007,0.007,0.007,0.007,0.008,0.006,0.0,
118,1.0,0.4,1.0,0.0,0.094,0.079,0.007,0.007,0.007,0.007,0.008,0.006,0.0,
119,1.0,0.4,1.0,0.0,0.076,0.078,0.007,0.007,0.008,0.007,0.006,0.008,0.0,
120,1.0,0.4,1.0,0.0,0.074,0.076,0.007,0.007,0.007,0.007,0.007,0.006,0.0,
121,0.0,0.4,0.0,1.0,0.011,0.011,0.007,0.008,0.008,0.006,1.0,1.0,0.0,
122,0.0,0.4,0.0,1.0,0.011,0.014,0.006,0.007,0.006,0.007,1.0,1.0,0.0,
123,0.0,0.4,0.0,0.0,0.011,0.011,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
124,1.0,0.4,1.0,0.0,0.084,0.086,0.007,0.007,0.006,0.006,0.006,0.006,0.0,
125,1.0,0.4,1.0,0.0,0.074,0.092,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
126,1.0,0.4,1.0,0.0,0.073,0.075,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
127,1.0,0.4,1.0,0.0,0.072,0.074,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
128,1.0,0.4,1.0,1.0,0.086,0.072,0.008,0.007,0.007,0.007,1.0,1.0,0.0,
129,1.0,0.4,1.0,1.0,0.088,0.104,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
130,1.0,0.4,1.0,1.0,0.088,0.085,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
131,1.0,0.4,1.0,0.0,0.087,0.083,0.007,0.007,0.008,0.007,0.007,0.008,0.0,
132,1.0,0.4,1.0,0.0,0.085,0.099,0.008,0.008,0.007,0.007,0.007,0.006,0.0,
133,0.0,0.4,0.0,0.0,0.011,0.011,0.008,0.007,0.007,0.006,0.008,0.006,0.0,
134,0.0,0.4,0.0,0.0,0.011,0.014,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
135,0.0,0.4,0.0,1.0,0.014,0.014,0.006,0.006,0.007,0.006,1.0,1.0,0.0,
136,1.0,0.4,1.0,0.0,0.097,0.094,0.008,0.006,0.008,0.008,0.006,0.008,0.0,
137,1.0,0.4,1.0,0.0,0.103,0.082,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
138,1.0,0.4,1.0,0.0,0.085,0.08,0.009,0.007,0.007,0.007,0.006,0.008,0.0,
139,1.0,0.4,1.0,0.0,0.085,0.079,0.008,0.008,0.007,0.007,0.006,0.006,0.0,
140,1.0,0.4,1.0,0.0,0.083,0.079,0.008,0.007,0.007,0.007,0.008,0.006,0.0,
141,1.0,0.4,1.0,0.0,0.083,0.079,0.007,0.007,0.007,0.008,0.006,0.006,0.0,
142,1.0,0.4,1.0,1.0,0.082,0.078,0.007,0.007,0.007,0.008,1.0,1.0,0.0,
143,1.0,0.4,1.0,1.0,0.118,0.112,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
144,0.0,0.4,0.0,0.0,0.024,0.011,0.009,0.009,0.007,0.007,0.006,0.006,0.0,
145,0.0,0.4,0.0,0.0,0.014,0.014,0.006,0.008,0.008,0.006,0.008,0.006,0.0,
146,0.0,0.4,0.0,0.0,0.012,0.014,0.006,0.006,0.006,0.008,0.006,0.006,0.0,
147,1.0,0.4,1.0,0.0,0.097,0.103,0.007,0.006,0.007,0.006,0.008,0.006,0.0,
148,1.0,0.4,1.0,0.0,0.117,0.111,0.007,0.009,0.007,0.007,0.006,0.006,0.0,
149,1.0,0.4,1.0,1.0,0.094,0.108,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
150,1.0,0.4,1.0,0.0,0.117,0.115,0.009,0.007,0.007,0.007,0.008,0.006,0.0,
151,1.0,0.4,1.0,0.0,0.138,0.135,0.007,0.008,0.008,0.007,0.006,0.008,0.0,
152,1.0,0.4,1.0,0.0,0.134,0.131,0.009,0.007,0.007,0.007,0.008,0.006,0.0,
153,1.0,0.4,1.0,0.0,0.11,0.131,0.007,0.009,0.007,0.007,0.006,0.008,0.0,
154,1.0,0.4,1.0,0.0,0.108,0.127,0.009,0.007,0.009,0.007,0.007,0.007,0.0,
155,0.0,0.4,0.0,1.0,0.012,0.025,0.006,0.007,0.006,0.007,1.0,1.0,0.0,
156,0.0,0.4,0.0,1.0,0.012,0.012,0.006,0.006,0.006,0.008,1.0,1.0,0.0,
157,0.0,0.4,0.0,1.0,0.012,0.015,0.006,0.006,0.008,0.006,1.0,1.0,0.0,
158,1.0,0.4,0.6,0.0,0.109,0.053,0.006,0.008,0.008,0.007,0.006,0.006,0.0,
159,1.0,0.4,1.0,0.0,0.129,0.123,0.007,0.007,0.009,0.007,0.006,0.008,0.0,
160,1.0,0.4,1.0,0.0,0.106,0.107,0.007,0.009,0.007,0.007,0.007,0.008,0.0,
161,1.0,0.4,1.0,0.0,0.104,0.13,0.007,0.007,0.009,0.007,0.006,0.006,0.0,
162,1.0,0.4,1.0,0.0,0.101,0.107,0.007,0.007,0.009,0.009,0.007,0.007,0.0,
163,1.0,0.4,1.0,1.0,0.099,0.127,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
164,1.0,0.4,1.0,0.0,0.147,0.138,0.007,0.009,0.007,0.007,0.006,0.008,0.0,
165,1.0,0.4,1.0,0.0,0.145,0.161,0.008,0.01,0.008,0.01,0.006,0.006,0.0,
166,0.0,0.4,0.0,0.0,0.026,0.012,0.006,0.008,0.006,0.008,0.007,0.007,0.0,
167,0.0,0.4,0.0,0.0,0.012,0.012,0.006,0.008,0.006,0.006,0.006,0.006,0.0,
168,0.0,0.4,0.0,0.0,0.012,0.012,0.008,0.006,0.006,0.006,0.006,0.008,0.0,
169,1.0,0.4,0.7,1.0,0.13,0.066,0.008,0.006,0.006,0.006,1.0,1.0,0.0,
170,1.0,0.4,1.0,1.0,0.18,0.146,0.008,0.007,0.009,0.008,1.0,1.0,0.0,
171,1.0,0.4,1.0,1.0,0.176,0.17,0.008,0.01,0.008,0.008,1.0,1.0,0.0,
172,1.0,0.4,1.0,0.0,0.169,0.141,0.01,0.01,0.01,0.008,0.008,0.007,0.0,
173,1.0,0.4,1.0,0.0,0.134,0.164,0.008,0.009,0.009,0.008,0.008,0.007,0.0,
174,1.0,0.4,1.0,0.0,0.161,0.131,0.008,0.009,0.008,0.01,0.007,0.007,0.0,
175,1.0,0.4,1.0,0.0,0.129,0.153,0.008,0.008,0.01,0.008,0.007,0.007,0.0,
176,1.0,0.4,1.0,1.0,0.125,0.153,0.007,0.008,0.007,0.01,1.0,1.0,0.0,
177,0.0,0.4,0.0,0.0,0.027,0.013,0.007,0.01,0.006,0.008,0.006,0.006,0.0,
178,0.0,0.4,0.0,0.0,0.012,0.013,0.008,0.006,0.006,0.006,0.008,0.006,0.0,
179,0.0,0.4,0.0,0.0,0.012,0.016,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
180,0.7,0.4,0.5,0.0,0.078,0.05,0.007,0.006,0.006,0.008,0.006,0.006,0.0,
181,1.0,0.4,1.0,0.0,0.159,0.194,0.008,0.01,0.008,0.008,0.006,0.008,0.0,
182,1.0,0.4,1.0,0.0,0.159,0.205,0.008,0.008,0.01,0.01,0.008,0.007,0.0,
183,1.0,0.4,1.0,1.0,0.159,0.205,0.008,0.009,0.008,0.009,1.0,1.0,0.0,
184,1.0,0.4,1.0,1.0,0.214,0.283,0.01,0.009,0.01,0.011,1.0,1.0,0.0,
185,1.0,0.4,1.0,0.0,0.214,0.271,0.009,0.012,0.009,0.01,0.007,0.007,0.0,
186,1.0,0.4,1.0,0.0,0.243,0.21,0.009,0.01,0.009,0.009,0.007,0.007,0.0,
187,1.0,0.4,1.0,0.0,0.229,0.252,0.009,0.009,0.009,0.009,0.007,0.007,0.0,
188,1.0,0.4,1.0,0.0,0.179,0.237,0.009,0.009,0.008,0.009,0.007,0.007,0.0,
189,0.0,0.4,0.0,0.0,0.012,0.013,0.006,0.011,0.006,0.008,0.006,0.006,0.0,
190,0.0,0.4,0.0,1.0,0.012,0.013,0.008,0.006,0.006,0.006,1.0,1.0,0.0,
191,0.0,0.4,0.0,0.0,0.012,0.013,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
192,1.0,0.4,1.0,0.0,0.173,0.187,0.008,0.006,0.006,0.006,0.008,0.006,0.0,
193,1.0,0.4,1.0,0.0,0.208,0.179,0.008,0.008,0.01,0.008,0.007,0.007,0.0,
194,1.0,0.4,1.0,0.0,0.198,0.206,0.009,0.008,0.009,0.009,0.008,0.007,0.0,
195,1.0,0.4,1.0,0.0,0.197,0.205,0.011,0.009,0.009,0.009,0.007,0.007,0.0,
196,1.0,0.4,1.0,1.0,0.156,0.162,0.008,0.008,0.008,0.008,1.0,1.0,0.0,
197,1.0,0.4,1.0,1.0,0.246,0.255,0.01,0.01,0.008,0.01,1.0,1.0,0.0,
198,1.0,0.4,1.0,1.0,0.251,0.26,0.011,0.01,0.011,0.012,1.0,1.0,0.0,
199,0.0,0.4,0.0,0.0,0.013,0.013,0.006,0.01,0.012,0.006,0.007,0.008,0.0,
